blame_mean,blame_minus_neutral,cohen_d,cohen_dz,it_div_pt,it_mean,it_minus_pt,it_sem,layer,metric,neutral_mean,p,paired_t,pt_mean,pt_sem,q_bh,significant_q05,welch_t
,,,-2.9607621067009355,0.01823910785673031,0.7043126247583328,-37.91120685628023,0.23999911561054274,0,raw_blame_rms,,4.858568947634625e-41,-26.481861343157178,38.61551948103856,1.4605700280853664,2.4049690043364505e-40,True,
,,,-2.8898554022039913,0.017886701324277523,0.7310498470203944,-40.14008864670201,0.23932088927968917,1,raw_blame_rms,,2.7112707247734533e-40,-25.847652497894337,40.8711384937224,1.584239463655457,9.21832046422974e-40,True,
,,,-3.397362440532186,0.012714180523478124,0.7310498470203944,-56.76772843998212,0.23932088927968917,2,raw_blame_rms,,2.4258044257210014e-45,-30.386933444940034,57.49877828700253,1.9107016789116642,4.1238675237257025e-44,True,
,,,-3.337259122248128,0.010324390873504743,0.7310498470203944,-70.07698677008129,0.23932088927968917,3,raw_blame_rms,,8.887859079094359e-45,-29.849353023513792,70.80803661710169,2.3929380112903464,9.735461820332076e-44,True,
,,,-4.099785122515968,0.004828264440040967,0.7310498470203944,-150.67943234566408,0.23932088927968917,4,raw_blame_rms,,2.293866325185401e-51,-36.66959290835303,151.41048219268447,4.160661467952219,7.799145505630364e-50,True,
,,,-3.325625631572407,0.14379401862423072,30.109557551954445,-179.2841143130635,1.49416873259504,5,raw_blame_rms,,1.1453484494508324e-44,-29.745299919646843,209.39367186501795,6.029822346323475,9.735461820332076e-44,True,
,,,-2.959973997044575,0.23524175108445097,58.284142998923315,-189.47860630147412,2.0816301211148573,6,raw_blame_rms,,4.951406773633869e-41,-26.474812276094138,247.7627493003974,7.03020029734819,2.4049690043364505e-40,True,
,,,-1.6984187250201614,0.27269365986616206,76.86105012475522,-204.9975386025316,2.6729991970002636,7,raw_blame_rms,,3.7503826041149014e-25,-15.191118893614542,281.8585887272869,13.261588805675158,5.100520341596266e-25,True,
,,,-1.4386479803776722,0.39277649143188814,134.24878943502583,-207.5455703689801,5.039180394836729,8,raw_blame_rms,,4.444430975534633e-21,-12.86765871926912,341.7943598040059,15.315017625987847,5.396809041720627e-21,True,
,,,-1.6034996932390375,0.45307196046201703,193.19748474281852,-233.21929140419064,6.352906714606181,9,raw_blame_rms,,1.0676909432305942e-23,-14.342137263930288,426.4167761470092,15.25948180968466,1.3962112334553924e-23,True,
,,,-2.0872460316278296,0.5198665657992434,280.1406901110811,-258.72968267465956,9.131813880107472,10,raw_blame_rms,,1.066820202845443e-30,-18.668896049946166,538.8703727857406,11.314562168985168,2.015104827596948e-30,True,
,,,-1.7944645394482683,0.551088079903666,335.354995812312,-273.1774839156732,11.006885294833065,11,raw_blame_rms,,1.390106672788281e-26,-16.05017877367683,608.5324797279852,13.657311726081215,2.1483466761273438e-26,True,
,,,-0.6731989320036745,0.634817731510158,368.8234490372814,-212.16764609154097,13.095770405546462,12,raw_blame_rms,,5.158120509362892e-08,-6.021274297361919,580.9910951288224,31.13993142145659,5.158120509362892e-08,True,
,,,-2.013050880917772,0.4975879529719601,373.2147308709333,-376.8330318247293,13.914956109872781,13,raw_blame_rms,,1.087549309396602e-29,-18.005274447591983,750.0477626956626,16.472179210354177,1.9461408694465509e-29,True,
,,,-2.4262107216516107,0.4380631532724092,369.86841455186476,-474.4582807861986,12.230788822932059,14,raw_blame_rms,,5.000075076569838e-35,-21.700688405407398,844.3266953380632,18.673262696603235,1.1333503506891632e-34,True,
,,,-1.536382904877689,0.4541486747194019,376.12105807075994,-452.06820903025755,12.405712871411769,15,raw_blame_rms,,1.2043694565805035e-22,-13.741826459100471,828.1892671010177,29.722889967253316,1.5166133897680415e-22,True,
,,,-2.3265661202503316,0.4467447263766513,408.92667525168395,-506.42084002467357,13.40189560776128,16,raw_blame_rms,,8.436761859010857e-34,-20.80943999611086,915.3475152763574,20.909962629178942,1.792811895039807e-33,True,
,,,-2.5772060484922346,0.39596155002531963,402.83005074805214,-614.5163323093263,13.142059995686948,17,raw_blame_rms,,8.066738581492498e-37,-23.05123166580912,1017.3463830573785,23.887272110131278,1.9590650840767494e-36,True,
,,,-1.770428029822908,0.4046645765976912,418.38626374391697,-615.5225287221645,13.58510703592382,18,raw_blame_rms,,3.143055867212086e-26,-15.835189695820237,1033.9087924660814,36.301002535699716,4.4526624785504554e-26,True,
,,,-1.7716664394710504,0.41043790249445733,439.85619145634485,-631.8191796122051,14.281461318714275,19,raw_blame_rms,,3.0132513554446715e-26,-15.846266368449188,1071.6753710685498,37.138051080615064,4.4526624785504554e-26,True,
,,,-2.9323122176164595,0.38182942676417203,446.0782246474908,-722.1874808739451,14.419973058964716,20,raw_blame_rms,,9.64637196395281e-41,-26.227397799374344,1168.2657055214356,24.602476639849776,4.0997080846799444e-40,True,
,,,-1.8613215444279094,0.4062921641264384,467.30679400424987,-682.8674777762506,15.075588750897133,21,raw_blame_rms,,1.4822172993461264e-27,-16.648166005302844,1150.1742717805005,38.41354733696698,2.519769408888415e-27,True,
