layer,linear_p,linear_q_bh,linear_r,linear_r2,linear_significant_q05,linear_slope_per_deg,metric,model,spearman_p,spearman_q_bh,spearman_rho,spearman_significant_q05
24,1.0960185195947309e-09,9.79768648197382e-09,0.6170118701796578,0.3807036479425988,True,40.35588121935472,abs_rms_delta,PT,4.363234814938562e-09,2.966999674158222e-08,0.5990235892110739,True
25,1.1526689978792731e-09,9.79768648197382e-09,0.6163751319473584,0.3799183032831234,True,38.899897088323996,abs_rms_delta,PT,2.6735085531195414e-09,2.966999674158222e-08,0.6055305547168811,True
26,1.1077867368373813e-09,9.79768648197382e-09,0.6168770505453889,0.38053729548957826,True,37.64723871722581,abs_rms_delta,PT,1.6199765230430178e-09,2.966999674158222e-08,0.6120375202226882,True
27,3.7063908766106298e-09,2.1002881634126903e-08,0.6012072406642479,0.3614501462271189,True,34.57098634753839,abs_rms_delta,PT,6.850578344126068e-09,3.8819943950047716e-08,0.5928993863820788,True
28,3.730708197649202e-08,5.073763148802915e-08,0.5686852584132347,0.3234029231365275,True,29.947163490346693,abs_rms_delta,PT,1.385846669296209e-07,1.427842022911246e-07,0.5484989158718651,True
29,4.8017591477273584e-08,5.872623449259895e-08,0.5649057899285994,0.3191185514948549,True,29.63750001796048,abs_rms_delta,PT,1.3206355624682777e-07,1.403175285122545e-07,0.5492644412254895,True
30,6.262743710954351e-08,7.097776205748265e-08,0.5608761995899932,0.3145821112665139,True,30.05207546991909,abs_rms_delta,PT,8.304138973611452e-08,1.008359732509962e-07,0.5565369320849209,True
31,2.347512110546337e-07,2.4942316174554834e-07,0.5400011608650851,0.2916012537356395,True,20.996964205735505,abs_rms_delta,PT,1.0109190856260888e-07,1.1457082970429006e-07,0.5534748306704235,True
32,6.057663891936634e-07,6.241229464419563e-07,0.5241034019159625,0.2746843758998849,True,19.639601752894364,abs_rms_delta,PT,5.857663384902149e-08,7.966422203466923e-08,0.5618956095602916,True
33,0.0005413500284248498,0.0005413500284248498,0.3782515720835902,0.14307425178370745,True,15.2265516093006,abs_rms_delta,PT,0.00010731446690298056,0.00010731446690298056,0.4195078937861578,True
0,7.632307786671003e-08,8.370918217639166e-08,-0.5578409510511195,0.31118652666961755,True,-2.9511632501872405,signed_rms_delta,PT,1.1988407415976446e-07,1.2737682879474973e-07,-0.5507954919327382,True
1,7.357941987324824e-08,8.339000918968134e-08,-0.5584051021886904,0.3118162581503618,True,-3.3665760966858387,signed_rms_delta,PT,1.3528685913470003e-07,1.3938646092666064e-07,-0.5488816785486773,True
2,3.373940522895822e-08,4.588559111138318e-08,-0.5701774122673936,0.3251022814599413,True,-4.784346354504804,signed_rms_delta,PT,2.3196195349518257e-08,3.114212875074427e-08,-0.5756750659255303,True
3,4.200907989226938e-08,5.101102558346996e-08,-0.5669135719603984,0.3213909980728978,True,-6.162252560045004,signed_rms_delta,PT,8.724297895299195e-08,9.568584788392665e-08,-0.5557714067312965,True
4,5.8117250110899884e-08,6.813746564726192e-08,-0.5620154153495377,0.31586132709051334,True,-12.420490831601008,signed_rms_delta,PT,4.908288364263365e-08,5.754544978791531e-08,-0.5645749482979769,True
5,3.690696147500002e-08,4.826294962115388e-08,-0.5688456843959063,0.32358541265584706,True,-17.794473559619796,signed_rms_delta,PT,1.3607963226842466e-08,1.9277947904693493e-08,-0.5833303194617742,True
6,7.952476002707641e-08,8.449505752876868e-08,-0.5572064690710912,0.3104790491746729,True,-19.983530157161226,signed_rms_delta,PT,6.315810436700831e-08,7.157918494927609e-08,-0.5607473215298552,True
7,4.033864146154836e-08,5.0796807766394236e-08,-0.5675203560214949,0.3220793544987643,True,-24.821213460978232,signed_rms_delta,PT,2.5765177136378432e-08,3.2445037875439506e-08,-0.5741440152182816,True
8,2.8168675626778816e-08,4.1640650926542596e-08,-0.5728378167638799,0.32814316431480844,True,-25.558614819858164,signed_rms_delta,PT,2.7149014023374855e-08,3.296665988552661e-08,-0.5733784898646572,True
9,3.2213324681580204e-08,4.563554329890529e-08,-0.5708620447083798,0.32588347408863216,True,-31.835477690844915,signed_rms_delta,PT,2.3814569044686795e-08,3.114212875074427e-08,-0.5752923032487183,True
10,7.687719132746263e-09,1.9125987755359453e-08,-0.591313487327973,0.34965164029596885,True,-33.2110471257383,signed_rms_delta,PT,9.550038547047166e-09,1.803896169997798e-08,-0.5883062342603326,True
11,4.87438134511214e-09,1.8593397205166326e-08,-0.5975315403523072,0.3570439417158009,True,-38.71039141451689,signed_rms_delta,PT,3.892093261532818e-09,1.401223656339518e-08,-0.6005546399183226,True
12,1.2828253781227515e-08,2.2955822555880817e-08,-0.5841652794155153,0.3412490736746071,True,-40.99723941435526,signed_rms_delta,PT,1.2546789827482454e-08,1.9277947904693493e-08,-0.5844786074922106,True
13,1.251100192594626e-08,2.2955822555880817e-08,-0.5845189256062063,0.3416623743918338,True,-44.61797760477052,signed_rms_delta,PT,7.447459750745704e-09,1.582585197033462e-08,-0.5917510983516423,True
14,1.3606635822822463e-08,2.3131280898798188e-08,-0.5833317018104757,0.3402758743371057,True,-50.158269171861235,signed_rms_delta,PT,1.1883643822841623e-08,1.9240185236981675e-08,-0.585244132845835,True
15,1.2757038663828936e-08,2.2955822555880817e-08,-0.5842439333321383,0.34134097363540805,True,-50.89209330455399,signed_rms_delta,PT,1.1564723442974778e-08,1.9240185236981675e-08,-0.5856268955226472,True
16,1.4337892948309382e-08,2.3213731440119953e-08,-0.582588971643767,0.33940990988094194,True,-49.699168482068444,signed_rms_delta,PT,1.3245086219012395e-08,1.9277947904693493e-08,-0.5837130821385863,True
17,1.1731826494577512e-08,2.2955822555880817e-08,-0.5854251050520405,0.34272255362519266,True,-54.42266835173871,signed_rms_delta,PT,9.038883845239591e-09,1.803896169997798e-08,-0.589071759613957,True
18,9.081057888285633e-09,2.0583731213447437e-08,-0.5890070564800483,0.34692931258329074,True,-53.90406591020566,signed_rms_delta,PT,1.008866153407579e-08,1.8053394324135623e-08,-0.5875407089067082,True
19,6.2321037346883574e-09,1.9125987755359453e-08,-0.5941945595549136,0.3530671746046578,True,-52.90934333193416,signed_rms_delta,PT,5.4736973466152375e-09,1.5508809148743173e-08,-0.5959614877965764,True
20,5.468646236813625e-09,1.8593397205166326e-08,-0.5959740211144944,0.3551850338433798,True,-51.33232839972019,signed_rms_delta,PT,4.121246048057406e-09,1.401223656339518e-08,-0.5997891145646983,True
21,7.456815458166875e-09,1.9125987755359453e-08,-0.5917338075802405,0.3501488990334091,True,-50.634936350325944,signed_rms_delta,PT,7.044280550375189e-09,1.582585197033462e-08,-0.5925166237052667,True
22,7.875406722795068e-09,1.9125987755359453e-08,-0.5909806073064963,0.34925807821235516,True,-49.950102203133866,signed_rms_delta,PT,2.7525017415251176e-09,1.3369294173121998e-08,-0.6051477920400689,True
23,1.1168275240511788e-09,7.594427163548015e-09,-0.616774403428352,0.3804106647243995,True,-55.350788769771526,signed_rms_delta,PT,4.195242517047245e-10,2.8527649115921268e-09,-0.6288790780024245,True
24,7.850520783334498e-10,6.6729426658343234e-09,-0.6211922792556872,0.3858798478068757,True,-53.6004683860177,signed_rms_delta,PT,3.358379896454547e-10,2.8527649115921268e-09,-0.6315584167401098,True
