blame_mean_rms,cohen_d,cohen_dz,delta_pct,delta_rms,it_delta_mean,it_minus_pt_delta,layer,model,neutral_mean_rms,p,paired_t,pt_delta_mean,q_bh,significant_q05,test,welch_t
1640.4765599357997,-0.6452173532009945,,-0.15014507300001606,-289.82531608760155,,,31,PT,1930.3018760234013,3.1519176575666505e-06,,,5.103104778917435e-06,True,blame_vs_neutral,-4.995074490864493
1577.7217774550995,-0.6314997487327458,,-0.14759999459885614,-273.19535940321794,,,32,PT,1850.9171368583175,5.898470191089581e-06,,,6.915447810242957e-06,True,blame_vs_neutral,-4.844491060703476
1473.579132217918,-0.6582780651396498,,-0.09767020421301871,-159.50351572092404,,,33,PT,1633.082647938842,0.00015428127601393318,,,0.00016921172207979768,True,blame_vs_neutral,-4.190637518538767
0.7043126247583328,0.11898530904402031,,0.5234740058060862,0.24200567231008702,,,0,IT,0.46230695244824577,0.3167656416840525,,,0.3474203812018641,False,blame_vs_neutral,1.0074882055851362
0.7310498470203944,0.13250546517355197,,0.581308356166748,0.26874289457214867,,,1,IT,0.46230695244824577,0.2652653217515588,,,0.30063403131843336,False,blame_vs_neutral,1.1219624374501374
0.7310498470203944,0.13250546517355197,,0.581308356166748,0.26874289457214867,,,2,IT,0.46230695244824577,0.2652653217515588,,,0.30063403131843336,False,blame_vs_neutral,1.1219624374501374
0.7310498470203944,0.13250546517355197,,0.581308356166748,0.26874289457214867,,,3,IT,0.46230695244824577,0.2652653217515588,,,0.30063403131843336,False,blame_vs_neutral,1.1219624374501374
0.7310498470203944,0.13250546517355197,,0.581308356166748,0.26874289457214867,,,4,IT,0.46230695244824577,0.2652653217515588,,,0.30063403131843336,False,blame_vs_neutral,1.1219624374501374
30.109557551954445,0.7482915774249296,,0.48010321467395406,9.766680613749052,,,5,IT,20.342876938205393,0.01414175769750833,,,0.02449812950994486,True,blame_vs_neutral,2.8162393459547337
58.284142998923315,0.5764065287631525,,0.22264892146904175,10.613759477140519,,,6,IT,47.670383521782796,0.08320449391785764,,,0.11787303305029832,False,blame_vs_neutral,1.88882428779262
76.86105012475522,0.4337629982080672,,0.15310187304580034,10.205144067006273,,,7,IT,66.65590605774895,0.15986199458089786,,,0.20905030060578952,False,blame_vs_neutral,1.4944363026578888
134.24878943502583,0.13763979882707603,,0.04649259116136967,5.964279282842057,,,8,IT,128.28451015218377,0.508040179627681,,,0.5234353365860955,False,blame_vs_neutral,0.6744701471658284
193.19748474281852,0.14513183306345673,,0.04260489188661515,7.894800815042515,,,9,IT,185.302683927776,0.4364982864844569,,,0.46377942938973543,False,blame_vs_neutral,0.7912402576166636
280.1406901110811,-0.04637453079832845,,-0.01271749654422418,-3.608580366727665,,,10,IT,283.74927047780875,0.7682972296322288,,,0.7682972296322288,False,blame_vs_neutral,-0.296627877349263
335.354995812312,-0.20015456892056702,,-0.052835756869994394,-18.707140976230107,,,11,IT,354.0621367885421,0.1369479001901291,,,0.18624914425857558,False,blame_vs_neutral,-1.5029697208359203
368.8234490372814,-0.2765588328191526,,-0.07690769531298346,-30.728629519298693,,,12,IT,399.5520785565801,0.032385888377245,,,0.05005091840119682,False,blame_vs_neutral,-2.1746218282973233
373.2147308709333,-0.33811867422420444,,-0.09662980245810279,-39.92124802948206,,,13,IT,413.13597890041535,0.009620693913396646,,,0.020443974565967873,True,blame_vs_neutral,-2.6483611747418188
369.86841455186476,-0.3992503698232214,,-0.10088555030956525,-41.501255548766494,,,14,IT,411.36967010063125,0.005646879217991682,,,0.01305981188229348,True,blame_vs_neutral,-2.864157992280993
376.12105807075994,-0.38915804173287233,,-0.09832351399014232,-41.01420486061471,,,15,IT,417.13526293137465,0.005761681712776535,,,0.01305981188229348,True,blame_vs_neutral,-2.84893368437305
408.92667525168395,-0.4022504703884265,,-0.10070647360009642,-45.793239044507516,,,16,IT,454.71991429619146,0.004153651944198416,,,0.01176868050856218,True,blame_vs_neutral,-2.96165247938916
402.83005074805214,-0.34772678840380644,,-0.08788938616099105,-38.81600032964445,,,17,IT,441.6460510776966,0.01225307699062759,,,0.023144700982296557,True,blame_vs_neutral,-2.5692673021795778
418.38626374391697,-0.30675841078270705,,-0.07799230973077848,-35.39114848325255,,,18,IT,453.7774122271695,0.025018011496199602,,,0.040505351946227924,True,blame_vs_neutral,-2.2870912092859768
439.85619145634485,-0.28465128999942224,,-0.07277578324502185,-34.52334211075373,,,19,IT,474.3795335670986,0.03692865051068527,,,0.05459017901579562,False,blame_vs_neutral,-2.1243787012093733
446.0782246474908,-0.33996640599051037,,-0.08537946667532602,-41.64122663793205,,,20,IT,487.71945128542285,0.014410664417614624,,,0.02449812950994486,True,blame_vs_neutral,-2.507735325685352
467.30679400424987,-0.34402794010686083,,-0.08611588299624001,-44.03461713259259,,,21,IT,511.34141113684245,0.011134851141288747,,,0.022269702282577495,True,blame_vs_neutral,-2.599983161099646
483.98601657574926,-0.3760328816744275,,-0.09355181467638735,-49.95075379018243,,,22,IT,533.9367703659317,0.005551204641341826,,,0.01305981188229348,True,blame_vs_neutral,-2.8510971174683486
455.08137830475425,-0.5264417296442356,,-0.18845896258531206,-105.68062549298224,,,23,IT,560.7620037977365,5.540642930504942e-05,,,0.0006279395321238934,True,blame_vs_neutral,-4.238077457303508
507.8945942951021,-0.5094550302464063,,-0.1706267522988427,-104.48902876348546,,,24,IT,612.3836230585875,9.331591215813373e-05,,,0.0007375928592568524,True,blame_vs_neutral,-4.095579816794275
573.6860568039319,-0.48227494785586966,,-0.15605650885892708,-106.08227226780093,,,25,IT,679.7683290717329,0.0001943670741615738,,,0.0009440686459276442,True,blame_vs_neutral,-3.890014845011079
608.0514104586236,-0.48716059350154833,,-0.15297913916574316,-109.81923308105866,,,26,IT,717.8706435396823,0.00016251385277205746,,,0.0009209118323749922,True,blame_vs_neutral,-3.9409697576623715
616.0890016162242,-0.5344392570001106,,-0.184124733229395,-139.03745791578956,,,27,IT,755.1264595320138,3.5638726974645704e-05,,,0.0006058583585689769,True,blame_vs_neutral,-4.358417604320906
697.2676722738319,-0.45542648132767666,,-0.13980711313963298,-113.3268849757651,,,28,IT,810.594557249597,0.0006807467636914822,,,0.002335737694819083,True,blame_vs_neutral,-3.5281074157549837
723.5882261470324,-0.45626633850462844,,-0.13715980746498074,-115.02387422480422,,,29,IT,838.6121003718366,0.0006869816749467891,,,0.002335737694819083,True,blame_vs_neutral,-3.526097416372778
781.922176778769,-0.5389583730047326,,-0.1582684389998401,-147.0226472096242,,,30,IT,928.9448239883932,0.0002303595163192952,,,0.0009790279443570046,True,blame_vs_neutral,-3.8961902269860524
834.0539297846237,-0.5455969989906421,,-0.16025577786922743,-159.16984931836282,,,31,IT,993.2237791029866,0.00010846953812600771,,,0.0007375928592568524,True,blame_vs_neutral,-4.084311880356901
833.9114921009343,-0.624498825001251,,-0.18045573098883516,-183.61925472144844,,,32,IT,1017.5307468223828,3.07148434874641e-05,,,0.0006058583585689769,True,blame_vs_neutral,-4.485181514030613
674.1537170624451,-0.5739653795847264,,-0.17865490108334864,-146.6385637360272,,,33,IT,820.7922807984723,0.003360354599071217,,,0.010386550578947398,True,blame_vs_neutral,-3.2261342596088136
,,1.3362873687533976,,,0.24200567231008696,17.110549591805363,0,,,2.1434055027688683e-19,11.952117576028636,-16.868543919495277,1.3412183353885949e-18,True,it_vs_pt_baseline_centered_blame,
,,1.0690480248070389,,,0.26874289457214856,14.84907599550102,1,,,7.811887593771302e-15,9.561856218722369,-14.580333100928868,1.897172701344459e-14,True,it_vs_pt_baseline_centered_blame,
,,1.1932936061458699,,,0.26874289457214856,19.939164151189114,2,,,5.581192254451456e-17,10.673142481832741,-19.670421256616965,1.8976053665134948e-16,True,it_vs_pt_baseline_centered_blame,
,,1.2730282010464626,,,0.26874289457214856,26.731511439416636,3,,,2.4618968569757607e-18,11.386310379257177,-26.462768544844486,1.1957784733882266e-17,True,it_vs_pt_baseline_centered_blame,
,,1.607952154706847,,,0.26874289457214856,59.097077205238676,4,,,9.106136750748965e-24,14.38196128996746,-58.82833431066655,1.0320288317515493e-22,True,it_vs_pt_baseline_centered_blame,
,,1.7958033272104548,,,9.766680613749054,96.81156109178525,5,,,1.3285837740920673e-26,16.062153255451797,-87.04488047803619,4.517184831913028e-25,True,it_vs_pt_baseline_centered_blame,
,,1.774604874194872,,,10.613759477140515,113.59885547439944,6,,,2.726474474688431e-26,15.87254852760903,-102.98509599725892,4.635006606970332e-25,True,it_vs_pt_baseline_centered_blame,
,,1.3810181129087824,,,10.205144067006275,166.68758401050528,7,,,3.8943121985157574e-20,12.35220151449017,-156.48243994349897,3.3101653687383935e-19,True,it_vs_pt_baseline_centered_blame,
,,1.2042134795454253,,,5.964279282842052,173.72503688682644,8,,,3.630283561153093e-17,10.770812798740566,-167.7607576039844,1.3714404564356126e-16,True,it_vs_pt_baseline_centered_blame,
,,1.3337005270910518,,,7.894800815042492,193.97864133373582,9,,,2.3668558859798733e-19,11.928980160811648,-186.08384051869334,1.3412183353885949e-18,True,it_vs_pt_baseline_centered_blame,
,,1.261641747452715,,,-3.6085803667276606,156.38988601308674,10,,,3.833428722897234e-18,11.284466842223663,-159.9984663798144,1.6292072072313244e-17,True,it_vs_pt_baseline_centered_blame,
,,1.1856531442535447,,,-18.707140976230097,180.49603969520368,11,,,7.544317819744475e-17,10.604804113149228,-199.20318067143376,2.331880053375565e-16,True,it_vs_pt_baseline_centered_blame,
,,0.9464121192517934,,,-30.72862951929867,298.27443572513533,12,,,1.0795325355296883e-12,8.464967333506616,-329.003065244434,2.0391170115560777e-12,True,it_vs_pt_baseline_centered_blame,
,,1.117308191686323,,,-39.92124802948202,209.15449149690977,13,,,1.1354732803439801e-15,9.993508273711987,-249.07573952639183,2.9696993485919482e-15,True,it_vs_pt_baseline_centered_blame,
,,1.1732890096347393,,,-41.501255548766494,229.44284328184395,14,,,1.2296382890116863e-16,10.494215931186785,-270.9440988306104,3.4839751521997776e-16,True,it_vs_pt_baseline_centered_blame,
,,0.9725194987726874,,,-41.0142048606147,286.1559749600133,15,,,3.7758705405326404e-13,8.698478834799038,-327.17017982062794,7.551741081065281e-13,True,it_vs_pt_baseline_centered_blame,
,,1.0062856547990537,,,-45.79323904450755,219.0369842372172,16,,,9.706315040199255e-14,9.000492515654328,-264.8302232817247,2.0625919460423419e-13,True,it_vs_pt_baseline_centered_blame,
,,1.0227646469140472,,,-38.816000329644496,243.870908189496,17,,,5.004351275815713e-14,9.147885101933559,-282.6869085191405,1.1343196225182283e-13,True,it_vs_pt_baseline_centered_blame,
,,0.842728084488964,,,-35.391148483252515,292.99023335149025,18,,,6.896518400931331e-11,7.537589133862061,-328.38138183474274,1.1724081281583263e-10,True,it_vs_pt_baseline_centered_blame,
,,0.8154578133331751,,,-34.52334211075378,290.8120146941172,19,,,2.0403597636140356e-10,7.293676413585277,-325.3353568048709,3.153283271039873e-10,True,it_vs_pt_baseline_centered_blame,
,,0.8715803556714325,,,-41.64122663793213,214.65804959651092,20,,,2.17792887277264e-11,7.7956516925391,-256.299276234443,3.897346403908935e-11,True,it_vs_pt_baseline_centered_blame,
,,0.7671607956642025,,,-44.03461713259261,281.4501122346652,21,,,1.3722177431587948e-09,6.861694755111949,-325.4847293672577,2.0284957942347402e-09,True,it_vs_pt_baseline_centered_blame,
,,0.8276470936592609,,,-49.950753790182446,199.8045298442426,22,,,1.2572633202567343e-10,7.402700651209001,-249.75528363442504,2.0355691851775696e-10,True,it_vs_pt_baseline_centered_blame,
,,0.5374399021467517,,,-105.68062549298222,164.25704297780433,23,,,7.18094778292691e-06,4.807008620083904,-269.93766847078655,1.0173009359146454e-05,True,it_vs_pt_baseline_centered_blame,
,,0.49196746742329367,,,-104.48902876348549,221.2147935585217,24,,,3.345781003369374e-05,4.4002907995076015,-325.7038223220072,4.550262164582349e-05,True,it_vs_pt_baseline_centered_blame,
,,0.44479327966049764,,,-106.0822722678009,149.34363613907627,25,,,0.00015287097552552483,3.978352037023802,-255.42590840687717,0.00018562904170956585,True,it_vs_pt_baseline_centered_blame,
,,0.4868004180618614,,,-109.81923308105868,302.4524693460823,26,,,3.9674727112297326e-05,4.354075305046561,-412.2717024271409,5.188233545454266e-05,True,it_vs_pt_baseline_centered_blame,
,,0.3016863432804518,,,-139.0374579157895,106.72064112727863,27,,,0.00851748900421976,2.698364685833716,-245.75809904306817,0.009341762133660381,True,it_vs_pt_baseline_centered_blame,
,,0.4458929021810004,,,-113.32688497576505,310.2561519328577,28,,,0.00014769546599414102,3.98818735984553,-423.5830369086228,0.00018562904170956585,True,it_vs_pt_baseline_centered_blame,
,,0.31398392447042545,,,-115.02387422480417,130.32925072416805,29,,,0.006271749341421559,2.8083575958321307,-245.35312494897227,0.007107982586944434,True,it_vs_pt_baseline_centered_blame,
,,0.3981543549946909,,,-147.02264720962427,291.01244749100425,30,,,0.0006289671532184299,3.5612008132228525,-438.0350947006285,0.0007374097658422972,True,it_vs_pt_baseline_centered_blame,
,,0.2193004307611536,,,-159.1698493183629,130.65546676923873,31,,,0.05334572655260765,1.9614826827077048,-289.82531608760166,0.056679834462145626,False,it_vs_pt_baseline_centered_blame,
,,0.15485203273068768,,,-183.61925472144839,89.57610468176942,32,,,0.1699394606804633,1.3850386865593625,-273.1953594032178,0.17508914130714404,False,it_vs_pt_baseline_centered_blame,
,,0.034917467516820073,,,-146.63856373602727,12.8649519848967,33,,,0.7556267995167549,0.31231132387900273,-159.50351572092396,0.7556267995167549,False,it_vs_pt_baseline_centered_blame,
