F,deg_slope,df_den,df_num,layer,p,partial_eta2,q_bh,significant_q05,test
0.0945467088771707,,154,4,0,0.984068203239923,0.0024497426952659346,0.984068203239923,False,deg_categorical_controlling_model
0.21552718800133303,-0.24355363213499598,157,1,0,0.6431124159311394,0.0013709026828094655,0.7053491013438303,False,deg_linear_trend_controlling_model
0.08258304449925875,,150,4,0,0.9876445816660964,0.0021973754279070723,0.9876445816660964,False,model_by_deg_interaction
0.04481480203259122,,75,4,0,0.9961265308110763,0.002384423709657672,0.998697367234306,False,PT_deg_categorical
0.029504642386595167,-0.17849936883186676,78,1,0,0.8640638831335096,0.00037812161594279875,0.8902476371678584,False,PT_deg_linear_trend
1.814707797648676,,75,4,0,0.1348475823807029,0.08824379201033626,0.15393991485174055,False,IT_deg_categorical
3.407714888371078,-0.30860789543812417,78,1,0,0.0686862648165883,0.04185985189542021,0.07076766678072732,False,IT_deg_linear_trend
0.21553710118005054,,154,4,1,0.9294845799678514,0.005567199045095593,0.9576507793608167,False,deg_categorical_controlling_model
0.08593139166135813,0.16653721736883834,157,1,1,0.769801813880794,0.0005470342945423086,0.7931291415741514,False,deg_linear_trend_controlling_model
0.6342395930383184,,150,4,1,0.6388371896972513,0.01663176189709862,0.7483361812906533,False,model_by_deg_interaction
0.3957368853261976,,75,4,1,0.8110932283780425,0.020669712933823026,0.998697367234306,False,PT_deg_categorical
0.3345112058369771,0.6506510601408055,78,1,1,0.5646809599543072,0.004270291608228649,0.8826130115451122,False,PT_deg_linear_trend
1.7431871777417416,,75,4,1,0.14941227029727758,0.0850617896876202,0.15393991485174055,False,IT_deg_categorical
3.6394768446484878,-0.3175766254031281,78,1,1,0.06010524396579484,0.04457986485600369,0.06386182171365702,False,IT_deg_linear_trend
0.3503582123770974,,154,4,2,0.843479043036536,0.009018146253938045,0.8961964832263195,False,deg_categorical_controlling_model
0.4757559367807984,-0.470372490115312,157,1,2,0.4913692748953129,0.0030211376598934725,0.6253311418898578,False,deg_linear_trend_controlling_model
0.3801480913616488,,150,4,2,0.8225630076753849,0.01003554923926873,0.8474891594231239,False,model_by_deg_interaction
0.3422519057773979,,75,4,2,0.8485964499064332,0.01792621988576592,0.998697367234306,False,PT_deg_categorical
0.2106171002106777,-0.6231683548274967,78,1,2,0.6475604872097702,0.002692947684338257,0.8826130115451122,False,PT_deg_linear_trend
1.7431871777417416,,75,4,2,0.14941227029727758,0.0850617896876202,0.15393991485174055,False,IT_deg_categorical
3.6394768446484878,-0.3175766254031281,78,1,2,0.06010524396579484,0.04457986485600369,0.06386182171365702,False,IT_deg_linear_trend
0.48441613849752757,,154,4,3,0.7471564824425032,0.012425891842950124,0.819461948485326,False,deg_categorical_controlling_model
0.42586646811250056,-0.5558720643440732,157,1,3,0.5149785874387064,0.0027051873854463684,0.6253311418898578,False,deg_linear_trend_controlling_model
0.5431015192822397,,150,4,3,0.7043164059206148,0.014275952737632857,0.7483361812906533,False,model_by_deg_interaction
0.49930675213292136,,75,4,3,0.73628348944735,0.025938947233909954,0.998697367234306,False,PT_deg_categorical
0.21810797130732315,-0.7941675032850181,78,1,3,0.6417873097529491,0.0027884587976396975,0.8826130115451122,False,PT_deg_linear_trend
1.7431871777417416,,75,4,3,0.14941227029727758,0.0850617896876202,0.15393991485174055,False,IT_deg_categorical
3.6394768446484878,-0.3175766254031281,78,1,3,0.06010524396579484,0.04457986485600369,0.06386182171365702,False,IT_deg_linear_trend
1.1169414598214102,,154,4,4,0.3506116215151392,0.0281935308144418,0.45849212044287435,False,deg_categorical_controlling_model
2.0352521584087087,-2.0952005359449406,157,1,4,0.15567429351169176,0.012797490687042628,0.264646298969876,False,deg_linear_trend_controlling_model
1.0402102859365252,,150,4,4,0.3885165912408097,0.026990259737012995,0.5080601577764435,False,model_by_deg_interaction
1.0770336036684296,,75,4,4,0.373968502911944,0.054321469625650695,0.7356539301278265,False,PT_deg_categorical
1.749284961427377,-3.872824446486759,78,1,4,0.18983150491204248,0.02193480433427662,0.5867519242735859,False,PT_deg_linear_trend
1.7431871777417416,,75,4,4,0.14941227029727758,0.0850617896876202,0.15393991485174055,False,IT_deg_categorical
3.6394768446484878,-0.3175766254031281,78,1,4,0.06010524396579484,0.04457986485600369,0.06386182171365702,False,IT_deg_linear_trend
1.0449695664685155,,154,4,5,0.38598271526780636,0.026424841842705077,0.48605230811501543,False,deg_categorical_controlling_model
0.8315791224251121,-2.0039324566631964,157,1,5,0.3632143953314738,0.005268775279629447,0.533724651801834,False,deg_linear_trend_controlling_model
0.9910141515987102,,150,4,5,0.414389763533368,0.02574663654471545,0.5218241466716486,False,model_by_deg_interaction
1.0457425359922732,,75,4,5,0.3894638453617905,0.05282663856083815,0.7356539301278265,False,PT_deg_categorical
1.3673994239793719,-4.974273792373294,78,1,5,0.2458202538991829,0.017228729099144934,0.6964907193810183,False,PT_deg_linear_trend
0.5747415942612403,,75,4,5,0.6817973431509867,0.02974123050793709,0.6817973431509867,False,IT_deg_categorical
0.8349184573890057,0.9664088790468992,78,1,5,0.363670034058302,0.01059071885563364,0.363670034058302,False,IT_deg_linear_trend
1.3802504816999301,,154,4,6,0.24332621266212262,0.03460987493880696,0.3596996187179204,False,deg_categorical_controlling_model
0.019615218908332305,-0.36418351569698393,157,1,6,0.888796569119147,0.00012492209257414003,0.888796569119147,False,deg_linear_trend_controlling_model
1.5140737722886697,,150,4,6,0.2009066174436311,0.03880839978736347,0.2969923910036286,False,model_by_deg_interaction
1.1051077158148104,,75,4,6,0.36049802769395,0.05565861095452936,0.7356539301278265,False,PT_deg_categorical
1.1401152882970642,-5.3032523351706695,78,1,6,0.28892157553469633,0.014406287938092762,0.7290157498498446,False,PT_deg_linear_trend
6.5645633329175,,75,4,6,0.00013852644483273565,0.25931963536504554,0.00018114996631973123,True,IT_deg_categorical
10.866630839522731,4.574885303776703,78,1,6,0.0014754056875617193,0.1222802162843999,0.0027975131933417794,True,IT_deg_linear_trend
1.3344279544549742,,154,4,7,0.259645951052735,0.03349936281200533,0.3678317639913746,False,deg_categorical_controlling_model
0.4480120092882717,3.207027836810985,157,1,7,0.5042636470060523,0.0028454599303663636,0.6253311418898578,False,deg_linear_trend_controlling_model
3.0574758171830325,,150,4,7,0.01862545840391016,0.07538624521321094,0.0422177057155297,True,model_by_deg_interaction
2.0575670322706534,,75,4,7,0.09486464855121952,0.09888551742159732,0.268783170895122,False,PT_deg_categorical
0.0021192524977567523,0.43444245220113686,78,1,7,0.9633997423860345,2.7169165633777192e-05,0.9633997423860345,False,PT_deg_linear_trend
7.671372612021075,,75,4,7,3.08553651873096e-05,0.29034723989058775,4.37117673486886e-05,True,IT_deg_categorical
11.315634841894408,5.979613221420831,78,1,7,0.0011939187307954532,0.12669265422482015,0.002537077302940338,True,IT_deg_linear_trend
3.853904275408491,,154,4,8,0.00516559807335647,0.09099289289479139,0.02304869937968366,True,deg_categorical_controlling_model
2.1191664461207234,-8.268828550206084,157,1,8,0.14746242164931572,0.013318109272765034,0.2638801229514071,False,deg_linear_trend_controlling_model
